[ 2014-11-06T10:58:12+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002620s ]
[ 2014-11-06T10:58:12+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_end ] --START--
[ 2014-11-06T10:58:12+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run ShowPageTrace Behavior [ RunTime:0.000856s ]
[ 2014-11-06T10:58:12+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_end ] --END-- [ RunTime:0.000940s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ route_check ] --START--
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run CheckRoute Behavior [ RunTime:0.001239s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ route_check ] --END-- [ RunTime:0.001356s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ app_begin ] --START--
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000839s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000903s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.003296s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` LIMIT 1   [ RunTime:0.000389s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | SQL: SELECT `id`,`subject`,`author`,`createtime` FROM `think_article` ORDER BY id desc LIMIT 0,8   [ RunTime:0.000346s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_template ] --START--
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run LocationTemplate Behavior [ RunTime:0.000980s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_template ] --END-- [ RunTime:0.001046s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_parse ] --START--
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run ParseTemplate Behavior [ RunTime:0.013628s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013751s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_filter ] --START--
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run ContentReplace Behavior [ RunTime:0.000725s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run TokenBuild Behavior [ RunTime:0.000772s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000527s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run ShowRuntime Behavior [ RunTime:0.000718s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002913s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_end ] --START--
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run ShowPageTrace Behavior [ RunTime:0.000725s ]
[ 2014-11-06T11:00:11+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ view_end ] --END-- [ RunTime:0.000783s ]
[ 2014-11-06T11:10:01+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Tag[ route_check ] --START--
[ 2014-11-06T11:10:01+08:00 ] /admin.php/Index/index/username/alexwang | INFO: Run CheckRoute Behavior [ RunTime:0.001303s ]
