[ 2014-10-31T10:09:55+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002635s ]
[ 2014-10-31T10:09:55+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ view_end ] --START--
[ 2014-10-31T10:09:55+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000653s ]
[ 2014-10-31T10:09:55+08:00 ] /admin.php/Index/index/username/ruby97 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000709s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001312s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001491s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000517s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000593s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001401s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001499s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.013980s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014058s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000586s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000717s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000404s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000618s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002463s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000651s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000699s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001075s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001231s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000644s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000727s ]
[ 2014-10-31T11:22:21+08:00 ] /admin.php/Login/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001138s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001279s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000773s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000834s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000834s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000892s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.013562s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013671s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.000810s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000974s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000718s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000673s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003486s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000632s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000685s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001121s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001228s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000722s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000780s ]
[ 2014-10-31T11:22:25+08:00 ] /admin.php/Login/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.001064s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001216s ]
[ 2014-10-31T11:22:26+08:00 ] /admin.php/Login/index | INFO: Tag[ app_begin ] --START--
